Port,longitude,latitude
SANTO THOMAS DE CASTILLA,-88.37,15.42
PUERTO CORTES,-87.57,15.5
TELA,-87.27,15.47
PUERTO ESTE,-86.54,16.05
LA CEIBA,-86.48,15.47
COXEN HOLE,-86.33,16.19
TRUJILLO,-85.57,15.55
PUERTO CASTILLA,-85.59,16
PUERTO CABEZAS,-83.23,14.01
EL BLUFF,-83.42,12
BLUEFIELDS,-83.45,12.01
PUERTO MOIN,-83.05,10
PUERTO LIMON,-83.01,9.59
CHIRIQUI GRANDE,-82.07,8.57
ALMIRANTE,-82.24,9.18
BOCAS DEL TORO,-82.14,9.2
PUERTO CRISTOBAL,-79.55,9.21
PUERTO COLON,-79.53,9.22
BAHIA DE LAS MINAS,-79.49,9.24
ST GEORGE'S,-64.41,32.23
IRELAND ISLAND,-64.5,32.19
HAMILTON,-64.47,32.18
FREEPORT,-78.47,26.31
SOUTH RIDING POINT,-78.13,26.37
NASSAU,-77.21,25.05
CLIFTON PIER,-77.33,25
COCKBURN TOWN,-74.32,24.03
MATTHEW TOWN,-73.41,20.57
GRAND TURK,-71.09,21.26
COCKBURN HARBOR,-71.32,21.3
CABANAS,-82.58,23
MARIEL,-82.45,22.59
BAHAI DE LA HABANA,-82.22,23.08
MATANZAS,-81.33,23.03
CARDENAS,-81.12,23.03
ISABELA DE SAGUA,-80,22.57
NUEVITAS BAY,-77.16,21.33
MANATI,-76.49,21.22
PUERTO PADRE,-76.32,21.17
ANTILLA,-75.44,20.5
FELTON,-75.36,20.44
NICARO,-75.33,20.43
BAHIA DE SAGUA DE TANAMO,-75.2,20.41
CAYO MOA GRANDE,-74.54,20.4
PUERTO GUANTANAMO,-75.08,19.59
SANTIAGO DE CUBA,-75.5,20.01
MEDIA LUNA,-77.26,20.09
CEIBA HUECA,-77.19,20.13
MANZANILLO,-77.07,20.21
GUAYABAL,-77.37,20.42
JUCARO,-78.51,21.37
TUNAS DE ZAZA,-79.33,21.38
CASILDA,-79.59,21.45
